State_name,unemp,OZdes_umemp,OZ_eligible,lf_pr,lf_pr_OZdes,lf_pr_OZeligible
Alabama,0.095460121960851,0.1286106053987342,0.11132032297005975,0.5673127310680267,0.5242243303544303,0.5441981178994012
Alaska,0.08551659529156629,0.12837471856,0.11580280764179109,0.6918080472891566,0.6681762452,0.6658841243283584
Arizona,0.08546124146278544,0.11384934732904195,0.10768557779280795,0.5934561098490134,0.5768085007142856,0.5746575738511495
Arkansas,0.0771470579521168,0.10460118685882355,0.08715030397000004,0.5745118274029192,0.5468983312941175,0.5552832491365391
California,0.08947047767555044,0.13383829040546688,0.10860390555051835,0.6321498479987131,0.6041811420660594,0.6198265648182015
Colorado,0.061636619376046954,0.08614000912698412,0.07486054887544899,0.6749144518276966,0.6219359176984127,0.6559737665905635
Connecticut,0.0847701644417171,0.14694314884722223,0.12119172811453491,0.6682101328707732,0.6437746584722223,0.662721634767442
Delaware,0.0731568400728972,0.10258154099999997,0.08522174814406777,0.6192706547663553,0.6125852796000002,0.6245806380508474
District of Columbia,0.10523861776424581,0.19271161612,0.13917291687327593,0.6894096393240227,0.5617717663599999,0.6337681915431034
Florida,0.08647582535182445,0.16693140986619706,0.10495648162500007,0.579099592811796,0.5438516692065722,0.5723853584545451
Georgia,0.09177030598008186,0.1505021001499998,0.10676469900246646,0.6178004172443768,0.5442528706538463,0.596221119940254
Hawaii,0.0519011991901587,0.07414973644,0.06803907782575758,0.6499504267721511,0.6034384932000001,0.6381153460606059
Idaho,0.0643891906097643,0.07652728942857143,0.07167260174010415,0.6135345661744966,0.5840638317857142,0.6113896561979166
Illinois,0.09338171730070619,0.20372933949541272,0.12388264086483744,0.6483040157298455,0.578810774434251,0.6196842898215924
Indiana,0.0784179536046511,0.10954111302564097,0.1003149514553244,0.6313251924208498,0.5987513418589742,0.6113912798898401
Iowa,0.04809316872837181,0.07406029260967743,0.06124101546682928,0.6674022670352365,0.6304555174193546,0.6538482302195119
Kansas,0.05686768508774705,0.07761030554324326,0.07004687706071429,0.6597801252700926,0.620754465,0.6425361080000002
Kentucky,0.08291204891209374,0.11535741086111116,0.097388319463151,0.5856837391352567,0.5135053803541667,0.5526940181914067
Louisiana,0.08564876461785077,0.12202938337333329,0.09940361244343943,0.5960468281277732,0.5509653818000001,0.57521904933758
